,Analyte Symbol,Na,Li,Be,Mg,Al,Si,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg,Ta,W,Tl,Pb,Bi,Th,U,Ba,Al,K,Mg,Mn,Si,Ag,As,Be,Bi,Ca,Cd,Ce,Co,Cr,Fe,Cu,Li,Mo,Na,Ni,P,Pb,Sb,S,Se,Sn,Sr,Te,Ti,Tl,U,V,W,Y,Zn,Date-Time,F,Cl,NO2 (as N),Br,NO3 (as N),PO4 (as P),SO4
,Unit Symbol,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,-,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
,Detection Limit (all in ug/L),5,1,0.1,2,2,200,30,700,1,0.1,0.1,0.5,0.1,10,0.005,0.3,0.2,0.5,0.01,0.01,0.03,0.2,0.005,0.04,0.003,0.01,0.005,0.1,0.2,0.01,0.001,0.1,0.01,0.1,0.001,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.2,0.001,0.02,0.001,0.01,0.3,0.001,0.001,20,0.1,0.1,0.1,0.01,0.1,5,30,2,20,0.1,2,30,2,20,0.01,2,0.05,5,0.1,5,0.02,10,10,1,20,10,10,10,10,10,0.05,10,10,10,5,,0.01,0.03,0.01,0.03,0.01,0.02,0.03
,Analysis Method,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,IC,IC,IC,IC,IC,IC,IC
KCB 1,,99000,7.64,0.21,34600,2870,93.9,5340,299,< 300,< 30,239,398,9.88,195,0.687,3.55,0.269,2.69,< 3,< 3,35.3,< 50,4.35,15.9,1460,8.07,< 1,< 30,< 50,< 3,4.25,< 30,< 3,< 30,123,< 30,4.72,12.6,2.25,14.7,5.15,2.22,21.9,7.47,79,28.5,121,21.7,152,26.2,0.375,< 50,< 0.3,< 5,6.45,< 3,< 80,4.77,135,< 2000,2290,4490,28200,10.6,95.7,< 500,< 3000,< 200,< 2000,306,< 200,< 3000,400,< 2000,160,< 200,6.57,< 500,85100,2200,< 2,< 1000,< 1000,17100,< 2000,< 1000,15300,< 1000,< 1000,< 1000,< 5,< 1000,< 1000,< 1000,2500,23/07/2019-19:01:43,< 50,174000,< 50,648,< 50,< 100,56100
KCB 2,,94600,0.00749,0.44,12000,432,72.7,1970,555,< 300,< 30,28.3,< 100,6.01,65.6,0.333,0.364,0.0534,< 1,5.13,< 3,13,58.6,0.957,23.2,445,< 3,< 1,< 30,< 50,< 3,0.85,< 30,< 3,< 30,10.7,< 30,18.2,40.6,3.4,20.3,8.75,2.58,33,8.02,52.5,12.6,38.5,4.97,29,4.58,< 0.3,< 50,< 0.3,< 5,3.17,< 3,< 80,1.17,167,< 2000,371,2180,11300,5.58,55.3,< 500,< 3000,< 200,< 2000,581,< 200,< 3000,300,< 2000,60.7,< 200,< 5,< 500,93100,600,< 2,< 1000,< 1000,5330,< 2000,< 1000,20000,< 1000,< 1000,< 1000,< 5,< 1000,< 1000,< 1000,900,23/07/2019-19:02:58,< 50,197000,< 50,532,< 50,< 100,17500
KCB 3,,85500,1.27,0.065,23200,751,61.8,3240,388,< 300,< 30,68.2,< 100,7.96,116,0.554,0.596,0.092,0.179,2.55,< 3,13.2,< 50,1.55,14.5,533,< 3,< 1,< 30,< 50,< 3,1.25,95.9,< 3,< 30,16.8,< 30,23.1,31.7,2.15,8.9,3.17,0.85,13.1,4.38,40.9,12.6,44.3,6.63,40.7,6.65,< 0.3,< 50,< 0.3,< 5,4.55,23,< 80,1.8,279,< 2000,616,3400,20500,6.51,51.2,< 500,< 3000,< 200,< 2000,364,< 200,< 3000,400,< 2000,102,< 200,< 5,< 500,80400,600,< 2,< 1000,< 1000,8740,< 2000,< 1000,12700,< 1000,< 1000,< 1000,< 5,< 1000,< 1000,< 1000,700,23/07/2019-19:04:13,< 50,205000,< 50,938,< 50,< 100,30300
KCB 4,,84300,1.61,< 0.030,27900,346,67.6,1490,348,< 300,< 30,67.6,< 100,14.2,38.1,1.99,3.31,2.28,4.23,3.55,< 3,616,< 50,0.469,16.8,490,< 3,< 1,< 30,< 50,< 3,1.77,< 30,< 3,< 30,13.2,< 30,23.5,31.8,2.9,12.2,4.15,1.6,14.4,4.28,35.9,11.3,43,6.75,45.2,7.58,< 0.3,< 50,< 0.3,< 5,4.2,< 3,< 80,1.95,70.6,< 2000,303,1640,24200,12.9,37.3,< 500,< 3000,< 200,< 2000,375,< 200,< 3000,1640,< 2000,40.1,1840,< 5,< 500,77300,2600,< 2,< 1000,< 1000,9770,< 2000,< 1000,14800,< 1000,< 1000,< 1000,< 5,< 1000,< 1000,< 1000,4500,23/07/2019-19:05:28,< 50,219000,< 50,592,< 50,< 100,37700
KCB 5,,116000,1.8,0.0275,8320,163,70.2,1850,558,< 300,< 30,< 30,< 100,12.8,11.8,0.328,0.906,0.264,0.699,71.8,7.58,26.8,73,2.04,14.1,605,3.42,< 1,< 30,< 50,< 3,0.45,< 30,< 3,< 30,7.65,< 30,497,812,77.5,292,61.8,18.5,103,20.8,110,21,52.9,6.13,34.1,5,0.4,< 50,< 0.3,< 5,13.4,< 3,< 80,1.52,78.2,< 2000,138,1940,7700,10.9,70.8,< 500,< 3000,< 200,< 2000,450,< 200,< 3000,200,< 2000,8.04,217,< 5,< 500,98700,800,< 2,< 1000,< 1000,5670,< 2000,< 1000,11700,< 1000,< 1000,< 1000,< 5,< 1000,< 1000,< 1000,1500,23/07/2019-19:06:43,< 50,183000,< 50,308,< 50,< 100,17700
KCB 6,,68800,319,0.383,31500,3610,59.6,1310,220,< 200,< 20,251,< 100,562,< 2,3.74,7.69,2.83,40.4,5.66,4.02,68.8,< 40,23,3.16,542,3.74,< 1,< 20,< 40,203,19.9,< 20,< 2,< 20,6620,< 20,30.1,32.4,3.24,14.7,4.58,1.56,13.2,3.9,34.9,10.9,46.3,9.16,74.3,15.5,0.2,< 40,< 0.2,< 4,4090,187,< 60,133,2450,< 2000,2970,1320,26400,467,33.9,< 500,< 3000,265,< 2000,235,202,< 3000,3420,< 2000,3.32,2320,338,< 500,57000,6970,< 2,< 1000,< 1000,31800,< 2000,< 1000,2630,< 1000,< 1000,4200,< 5,< 1000,< 1000,< 1000,44600,23/07/2019-19:07:58,1830,126000,< 20,< 60,< 20,< 40,92300
KCB 7,,69000,337,0.499,38800,5660,730,1590,223,< 200,< 20,284,< 100,677,8.02,5.71,9.9,3.41,66.6,9.24,2.62,63.8,< 40,21.6,3.18,523,2.18,< 1,< 20,< 40,428,27.7,< 20,< 2,< 20,5870,< 20,48.2,60.4,6.54,26.5,7.24,2.46,20.1,5.28,41.3,11.8,44.3,8.2,64,13.2,< 0.2,< 40,< 0.2,< 4,5140,385,< 60,175,2520,< 2000,4720,1600,32000,566,88.7,< 500,< 3000,354,< 2000,288,374,< 3000,4620,< 2000,10.6,2680,361,< 500,58900,9320,< 2,< 1000,< 1000,33000,< 2000,< 1000,2650,< 1000,< 1000,5040,< 5,< 1000,< 1000,< 1000,65100,23/07/2019-19:09:13,3160,190000,< 50,< 100,< 50,< 100,139000
